	S1	S28	S6	allTiers
PWY145	25.7396825396825	37.5790264191801	36.840069124424	Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism; Lipoic acid metabolism
PWY146	24.0958063176148	27.1433718912985	33.6230022456655	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism; Nicotinate and nicotinamide metabolism
PWY147	26.0658332579558	30.8019948463188	25.5248357107242	Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate; One carbon pool by folate
PWY148	21.5524193598871	30.9979438509726	30.4733250060818	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis; Pantothenate and CoA biosynthesis
PWY149	20.9674287718221	28.2453409482539	17.873067735737	Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism; Porphyrin metabolism
PWY150	0	30.4029411764706	31.6949546617066	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism; Retinol metabolism
PWY151	24.0308777539675	36.9343748458919	26.8521815865915	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism; Riboflavin metabolism
PWY152	17.1291580434708	31.3126715523947	27.4229639475086	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism; Thiamine metabolism
PWY153	24.5484661654135	25.0729672462968	21.9175079199217	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis; Ubiquinone and other terpenoid-quinone biosynthesis
PWY154	24.6372097693475	26.86079488126	25.9855083602447	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism; Vitamin B6 metabolism
PWY155	26.7131882023342	24.9726177927381	16.7188870614035	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism; beta-Alanine metabolism
PWY156	34.9624547001311	27.2153599472748	26.9330734955735	Metabolism; Metabolism of other amino acids; Cyanoamino acid metabolism; Cyanoamino acid metabolism
PWY157	27.1820555792166	28.5748152001927	22.792027392897	Metabolism; Metabolism of other amino acids; D-Amino acid metabolism; D-Amino acid metabolism
PWY158	30.8253454764896	28.3455510472847	27.0806348630049	Metabolism; Metabolism of other amino acids; Glutathione metabolism; Glutathione metabolism
PWY159	27.3519326727727	34.950974025974	17.267032967033	Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism; Phosphonate and phosphinate metabolism
PWY160	20.5980293986677	23.086700942419	23.7762460986091	Metabolism; Metabolism of other amino acids; Selenocompound metabolism; Selenocompound metabolism
PWY161	22.9373029923161	25.5759338629543	22.1497337565134	Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism; Taurine and hypotaurine metabolism
PWY162	0	24.8804632867133	0	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of ansamycins; Biosynthesis of ansamycins
PWY163	0	29.8333333333333	0	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of enediyne antibiotics; Biosynthesis of enediyne antibiotics
PWY164	18.6610547572086	18.3836898395722	11.7297916666667	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of siderophore group nonribosomal peptides
PWY165	0	54	0	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide products; Biosynthesis of type II polyketide products
PWY166	0	24.2142857142857	0	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics; Biosynthesis of vancomycin group antibiotics
PWY167	19.5833333333333	127.703262786596	39.7073863636364	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis; Carotenoid biosynthesis
PWY168	41.1272968825654	24.0003532524789	9.75	Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation; Geraniol degradation
PWY169	32.8399393161396	21.3287890595021	0	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation; Limonene and pinene degradation
PWY170	17.1994047619048	0	0	Metabolism; Metabolism of terpenoids and polyketides; Nonribosomal peptide structures; Nonribosomal peptide structures
PWY171	14.1555538055538	33.0514065085494	29.6740925210472	Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis; Polyketide sugar unit biosynthesis
PWY172	14.25	0	0	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis; Sesquiterpenoid and triterpenoid biosynthesis
